names,amplitude,latency,type,group
C001,0.5787,5.0082,rest,C
C001,0.4712,24.1132,grasp,C
C001,0.717,24.5353,rest,C
C001,0.3454,24.3426,grasp,C
C001,0.5115,24.4816,rest,C
C001,0.1321,25.8025,grasp,C
C001,0.2493,25.0513,rest,C
C001,0.1081,24.5599,grasp,C
C001,0.3249,24.5264,rest,C
C001,0.2293,24.9204,grasp,C
C001,0.1518,24.974,rest,C
C001,0.0856,26.842,grasp,C
C001,0.3088,24.3475,rest,C
C002,0.0042,5.2493,rest,C
C002,0.0088,25.1757,grasp,C
C002,0.0027,25.192,rest,C
C002,0.0043,25.4288,grasp,C
C002,0.0022,25.0332,rest,C
C002,0.007,25.381,grasp,C
C002,0.003,25.0608,rest,C
C002,0.0061,25.3568,grasp,C
C002,0.0037,2.0159,rest,C
C002,0.0148,25.2281,grasp,C
C002,0.002,24.8838,rest,C
C002,0.0101,25.3478,grasp,C
C002,0.0273,24.6442,rest,C
C003,0.1604,1.1142,rest,C
C003,0.3141,20.7685,grasp,C
C003,0.537,20.295,rest,C
C003,0.3736,15.876,grasp,C
C003,0.481,20.6203,rest,C
C003,0.3128,21.0816,grasp,C
C003,0.5967,20.8986,rest,C
C003,0.3002,21.0287,grasp,C
C003,0.5181,20.7431,rest,C
C003,0.2649,20.7254,grasp,C
C003,0.4718,21.1688,rest,C
C003,0.2372,12.0188,grasp,C
C003,0.36,21.8099,rest,C
C004,0.0944,6.3042,rest,C
C004,0.1081,26.5521,grasp,C
C004,0.109,26.0636,rest,C
C004,0.0225,19.75,grasp,C
C004,0.12,1.294,rest,C
C004,0.0254,26.3367,rest,C
C004,0.0125,25.9854,rest,C
C004,0.074,20.3462,grasp,C
C004,0.0396,26.3583,rest,C
C004,0.0663,11.2901,grasp,C
C004,0.1422,26.0251,rest,C
C006,0.1273,1.822,rest,C
C006,0.0778,21.309,grasp,C
C006,0.0374,20.2126,rest,C
C006,0.0106,21.2471,grasp,C
C006,0.0178,20.242,rest,C
C006,0.023,16.4049,grasp,C
C006,0.0356,14.3765,rest,C
C007,0.0927,9.4088,rest,C
C007,0.0614,17.5701,grasp,C
C007,0.0175,26.9112,rest,C
C007,0.0869,29.3823,grasp,C
C007,0.0855,0.242,rest,C
C007,0.0189,15.3561,grasp,C
C007,0.0179,26.7818,rest,C
C007,0.0505,18.4171,grasp,C
C007,0.0695,27.513,rest,C
C007,0.0701,28.4257,grasp,C
C007,0.098,10.9444,rest,C
C007,0.0325,19.9848,grasp,C
C007,0.0359,22.0665,rest,C
C008,0.0291,7.511,rest,C
C008,0.0061,27.1316,grasp,C
C008,0.0081,28.0879,rest,C
C008,0.0112,25.8706,grasp,C
C008,0.0199,27.1312,rest,C
C008,0.004,28.0842,grasp,C
C008,0.008,27.1673,rest,C
C008,0.0047,27.6598,grasp,C
C008,0.0327,27.107,rest,C
C008,0.0031,26.6992,grasp,C
C008,0.0173,27.0977,rest,C
C008,0.0252,26.1972,rest,C
C009,0.0184,0.4863,grasp,C
C009,0.0305,2.2611,rest,C
C009,0.0034,16.5106,grasp,C
C009,0.0254,28.0338,rest,C
C009,0.0283,29.0884,grasp,C
C009,0.036,27.7967,rest,C
C009,0.0014,15.0979,grasp,C
C009,0.0319,27.806,rest,C
C009,0.0046,26.1086,grasp,C
C009,0.0273,28.1988,rest,C
C009,0.0324,27.4255,rest,C
C010,0.059,6.9681,rest,C
C010,0.0519,27.9819,grasp,C
C010,0.0574,26.9331,rest,C
C010,0.0568,26.9592,grasp,C
C010,0.0713,27.8911,rest,C
C010,0.064,1.8587,grasp,C
C010,0.0087,27.516,rest,C
C010,0.016,26.9552,grasp,C
C010,0.0133,26.9845,rest,C
C010,0.0127,26.9699,grasp,C
C010,0.0164,27.8622,rest,C
C010,0.0078,26.9455,grasp,C
C010,0.0473,27.6611,rest,C
C011,0.0637,11.3388,grasp,C
C011,0.0522,28.8139,rest,C
C011,0.0343,26.7621,grasp,C
C011,0.0638,28.8345,rest,C
C011,0.0458,1.7817,grasp,C
C011,0.0113,6.8229,rest,C
C011,0.0131,12.3415,rest,C
C011,0.0221,1.4905,grasp,C
C011,0.009,29.8089,rest,C
C011,0.0289,22.9235,rest,C
C012,0.0043,0.1423,rest,C
C012,0.0111,5.6839,grasp,C
C012,0.0023,5.268,rest,C
C012,0.0062,4.2794,grasp,C
C012,0.0074,0.0323,rest,C
C012,0.0032,3.7189,grasp,C
C012,0.0058,0.0218,rest,C
C012,0.0073,29.8986,grasp,C
C012,0.0044,29.5251,rest,C
C012,0.0052,29.8516,grasp,C
C012,0.005,29.3402,rest,C
C012,0.0049,5.3555,grasp,C
C012,0.0274,28.4147,rest,C
C013,0.0144,8.6882,rest,C
C013,0.0086,26.0615,grasp,C
C013,0.0052,26.7052,rest,C
C013,0.0038,25.7594,grasp,C
C013,0.0027,20.5647,rest,C
C013,0.0107,14.0725,grasp,C
C013,0.0069,26.7201,rest,C
C013,0.0029,25.0239,grasp,C
C013,0.0031,17.4303,rest,C
C013,0.014,10.4908,grasp,C
C013,0.0127,14.068,rest,C
C013,0.0172,20.0599,grasp,C
C013,0.0355,19.8649,rest,C
C014,0.0528,9.153,rest,C
C014,0.0063,26.5001,grasp,C
C014,0.0247,27.9163,rest,C
C014,0.0145,27.0052,grasp,C
C014,0.033,27.5208,rest,C
C014,0.0088,26.524,grasp,C
C014,0.0198,25.4993,rest,C
