names,amplitude,latency,type,group
C001,0.3801,5.3844,CountVolumes,C
C001,0.4392,4.8586,CountHeartBeats,C
C001,0.1828,17.7187,Answer,C
C001,0.0894,17.4893,CountVolumes,C
C001,0.1396,17.9042,Answer,C
C001,0.3614,2.8094,CountVolumes,C
C001,0.2476,2.8408,CountHeartBeats,C
C001,0.2216,9.954,CountVolumes,C
C001,0.304,7.091,CountHeartBeats,C
C001,0.0504,8.1616,Answer,C
C001,0.266,0.6503,CountVolumes,C
C001,0.28,0.9907,CountHeartBeats,C
C001,0.5356,17.8501,Answer,C
C001,0.1076,17.1142,CountVolumes,C
C001,0.6057,17.8923,Answer,C
C001,0.5591,17.0908,CountHeartBeats,C
C001,0.2138,19.9387,Answer,C
C002,0.0033,22.6774,CountVolumes,C
C002,0.0101,4.5262,Answer,C
C002,0.0064,17.3278,CountHeartBeats,C
C002,0.0021,8.5538,CountVolumes,C
C002,0.0021,1.1865,Answer,C
C002,0.0019,8.7112,CountHeartBeats,C
C002,0.0022,12.7048,CountVolumes,C
C002,0.0026,12.6513,CountHeartBeats,C
C002,0.0051,16.3744,CountVolumes,C
C002,0.0022,16.8101,CountHeartBeats,C
C002,0.002,12.6393,CountVolumes,C
C002,0.0025,9.1738,Answer,C
C002,0.0024,12.7776,CountHeartBeats,C
C002,0.0015,8.1471,Answer,C
C002,0.0023,8.627,CountVolumes,C
C002,0.0025,8.9622,CountHeartBeats,C
C002,0.0282,7.7794,Answer,C
C003,0.1776,11.8295,CountVolumes,C
C003,0.3129,5.1125,Answer,C
C003,0.2276,12.0457,CountHeartBeats,C
C003,0.166,4.6793,Answer,C
C003,0.2638,3.8894,CountVolumes,C
C003,0.0672,5.2237,Answer,C
C003,0.1046,3.786,CountHeartBeats,C
C003,0.0521,5.2257,Answer,C
C003,0.139,8.0852,CountVolumes,C
C003,0.0743,4.9361,Answer,C
C003,0.1292,7.8255,CountHeartBeats,C
C003,0.0883,4.7011,Answer,C
C003,0.22,12.198,CountVolumes,C
C003,0.0515,4.7649,Answer,C
C003,0.2638,11.9737,CountHeartBeats,C
C003,0.1722,8.2823,CountVolumes,C
C003,0.0479,4.2431,Answer,C
C003,0.1417,8.0803,CountHeartBeats,C
C003,0.1129,5.0789,Answer,C
C003,0.1576,4.4792,CountVolumes,C
C003,0.0456,13.7516,Answer,C
C003,0.1213,3.8079,CountHeartBeats,C
C003,0.1479,4.2582,Answer,C
C004,0.2439,22.9455,CountVolumes,C
C004,0.1552,15.4555,Answer,C
C004,0.2017,23.0004,CountHeartBeats,C
C004,0.4699,13.9268,Answer,C
C004,0.162,15.7267,CountVolumes,C
C004,0.0521,15.6409,Answer,C
C004,0.1648,15.0262,CountHeartBeats,C
C004,0.0909,15.6623,Answer,C
C004,0.1291,18.712,CountVolumes,C
C004,0.0757,15.4718,Answer,C
C004,0.0866,19.2884,CountHeartBeats,C
C004,0.3634,27.0023,CountVolumes,C
C004,0.0409,15.3241,Answer,C
C004,0.1509,21.988,CountHeartBeats,C
C004,0.0416,15.3107,Answer,C
C004,0.117,19.8033,CountVolumes,C
C004,0.0887,17.1727,Answer,C
C004,0.058,18.7172,CountHeartBeats,C
C004,0.1804,14.9416,CountVolumes,C
